idx	name	new_name	smiles	inchikey
0	3-cyclohexyl-1-[[(2R,3S)-10-[(4-fluorophenyl)sulfonylamino]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-2-yl]methyl]-1-methylurea	3-cyclohexyl-1-[[(2R,3S)-10-[(4-fluorophenyl)sulfonylamino]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-2-yl]methyl]-1-methylurea	C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NS(=O)(=O)C3=CC=C(C=C3)F)O[C@H]1CN(C)C(=O)NC4CCCCC4)[C@H](C)CO	PZASEUVCJBPSCE-UNVFRBQDSA-N
1	4-[6-(1-adamantyl)-7-hydroxy-2-naphthalenyl]benzoic acid	4-[6-(1-adamantyl)-7-hydroxy-2-naphthalenyl]benzoic acid	C1C2CC3CC1CC(C2)(C3)C4=C(C=C5C=C(C=CC5=C4)C6=CC=C(C=C6)C(=O)O)O	YSGDXEKQTNMRQN-UHFFFAOYSA-N
2	Nintedanib	nintedanib	CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N/C(=C\3/C4=C(C=C(C=C4)C(=O)OC)NC3=O)/C5=CC=CC=C5	XZXHXSATPCNXJR-ZIADKAODSA-N
3	bicalutamide	bicalutamide	CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O	LKJPYSCBVHEWIU-UHFFFAOYSA-N
4	N-[(2R,3S)-2-[[cyclopropylmethyl(methyl)amino]methyl]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-8-yl]-1-methyl-4-imidazolesulfonamide	N-[(2R,3S)-2-[[cyclopropylmethyl(methyl)amino]methyl]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-8-yl]-1-methyl-4-imidazolesulfonamide	C[C@H]1CN(C(=O)C2=C(C=CC(=C2)NS(=O)(=O)C3=CN(C=N3)C)O[C@H]1CN(C)CC4CC4)[C@H](C)CO	KTPUHGRRTQXBGV-JKSBSHDWSA-N
5	PHA-665752	PHA-665752	CC1=C(NC(=C1C(=O)N2CCC[C@@H]2CN3CCCC3)C)/C=C\4/C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O	OYONTEXKYJZFHA-SSHUPFPWSA-N
6	N-cyclopropyl-3-[3-[[cyclopropyl(oxo)methyl]amino]-1H-indazol-6-yl]benzamide	N-cyclopropyl-3-[3-[[cyclopropyl(oxo)methyl]amino]-1H-indazol-6-yl]benzamide	C1CC1C(=O)NC2=NNC3=C2C=CC(=C3)C4=CC(=CC=C4)C(=O)NC5CC5	WBLZCNIEEVRRTG-UHFFFAOYSA-N
7	Ki8751	Ki8751	COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC(=C(C=C3)NC(=O)NC4=C(C=C(C=C4)F)F)F	LFKQSJNCVRGFCC-UHFFFAOYSA-N
8	IPA-3	IPA-3	C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O	RFAXLXKIAKIUDT-UHFFFAOYSA-N
9	NA	NA	C[C@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@]1(CCC/C=C\CCC[C@@](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCCNC(=N)N)CC(=O)N)CC2=CN=CN2)(C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)O	FAWUGYGEBHAQBU-PPEXNQRJSA-N
10	NA	NA	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C.C1CC(C1)(C(=O)O)C(=O)O.[Pt]	MYDRVAJBLQJSNQ-JUIHMFJESA-N
11	[4-amino-2-[2-methoxy-4-(4-methyl-1-piperazinyl)anilino]-5-thiazolyl]-(2,6-dichlorophenyl)methanone	[4-amino-2-[2-methoxy-4-(4-methyl-1-piperazinyl)anilino]-5-thiazolyl]-(2,6-dichlorophenyl)methanone	CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC(=C(S3)C(=O)C4=C(C=CC=C4Cl)Cl)N)OC	UISRWLSAXIOCND-UHFFFAOYSA-N
12	Onalespib	Onalespib	CC(C)C1=C(C=C(C(=C1)C(=O)N2CC3=C(C2)C=C(C=C3)CN4CCN(CC4)C)O)O	IFRGXKKQHBVPCQ-UHFFFAOYSA-N
13	Cediranib	Cediranib	CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5	XXJWYDDUDKYVKI-UHFFFAOYSA-N
14	NA	NA	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F.COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC	NZWOCAZUPDAZJN-UHFFFAOYSA-N
15	ZINC113660258	ZINC113660258	CC1=CC=C(C=C1)C(=O)N(CCCN)[C@H](C2=C(C(=O)C3=C(O2)C=C(C=C3)Cl)CC4=CC=CC=C4)C(C)C	PGXYIBJJCLWJST-NDEPHWFRSA-N
16	NSC60043	NSC60043	C1=CC=C2C=C3C(=CC2=C1)NC(=N3)CNC4=CC=C(C=C4)C(=O)O	KMWYWXCIJWCOFD-UHFFFAOYSA-N
17	NA	NA	C[C@]12CC[C@@]3(CCC(C[C@@H]3[C@@H]1C(=O)C=C4[C@@]2(CC[C@H]5[C@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)C(=O)OC	WPTTVJLTNAWYAO-CDYPJPISSA-N
18	brefeldin A	brefeldin A	CC1CCC/C=C\C2CC(CC2C(/C=C\C(=O)O1)O)O	KQNZDYYTLMIZCT-MOIRPGTBSA-N
19	AZD7762	AZD7762	C1C[C@@H](CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N	IAYGCINLNONXHY-LBPRGKRZSA-N
20	SCHEMBL2139153	SCHEMBL2139153	C1=CSC(=C1)C2=CC(=C(C=C2)N)NC(=O)C3=CC=C(C=C3)C(=O)NCCC4=CC=NC=C4	NAFATFFIJBWNMH-UHFFFAOYSA-N
21	staurosporine	Staurosporine	C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	HKSZLNNOFSGOKW-FYTWVXJKSA-N
22	HMS1361J12	HMS1361J12	C[C@@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@H]2C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)OC)/C	DPMRXCGDQWBYHC-ZOMSYMKESA-N
